acquisition_of_precisionn_matching	More precise \n matching	獲取精準\n匹配	获取精准\n匹配
activity_finished	Finished	已結束	已结束
activity_opened	Activity opened	活動開放	活动开放
ad	Advertisement	廣告	广告
add_fail	add failed	添加失敗	添加失败
add_more	Add more	補充更多	补充更多
add_pet	Add pet	添加寵物	添加宠物
add_success	add success	添加成功	添加成功
add_topic	Add topic	添加話題	添加话题
adding_pet_photos	Pet photos	寵物照片：	宠物照片：
age_month	months	個月	个月
alert_network	Please reconnect to the network	請重新連接到網絡	请重新连接到网络
alert_remind	This version no longer prompts	此版本不再提示	此版本不再提示
alert_update_now	Upgrade now	馬上升級	马上升级
alipay_not_found	Alipay not found, please install.	未檢測到支付寶客戶端，請安裝後重試。	未检测到支付宝客户端，请安装后重试。
all	All	全部	全部
already_finish	Already Finished	已結束	已结束
and	and	和	和
areacode	AreaCode  |	區號 |	区号  |
article	Article	文章	文章
ask_exit_event	Do you want to exit the event?	是否退出當前活動？	是否退出当前活动？
audit_failed	Audit failed	稽核失敗	审核失败
audit_failure	Audit failure	審覈失敗	审核失败
audit_in_progress	Auditing	審覈中	审核中
auto_play_video	Autoplay videos	自動播放視頻	自动播放视频
basic_info	Basic Info	基本資訊	基本信息
bind_email_success	Binding success, please go to the mailbox for authentication!	綁定成功，請前往郵箱進行認證！	绑定成功，请前往邮箱进行认证！
binding_fail	binding failed	綁定失敗	绑定失败
binding_success	binding success	綁定成功	绑定成功
blood_health_certification	Studbook Health certificate \n certification	血統健康\n認證	血统健康\n认证
camer_all_video	All videos	全部視頻	全部视频
camera_bg	Background	背景	背景
camera_cut	cut	裁剪	裁剪
camera_enter_text	type what you want to add	輸入您想要加入的文字	输入您想要加入的文字
camera_filter	Filter	濾鏡	滤镜
camera_picture	Photo	拍照	拍照
camera_reset	Reset	重置	重置
camera_resize	Resize	調整大小	调整大小
camera_save	Save and publish	儲存	保存
camera_sound1	Meow	貓叫	猫叫
camera_sound2	OwOh	嗷嗚	嗷呜
camera_sound3	Bark	狗叫	狗叫
camera_sticker	Sticker	貼圖	贴图
camera_text	Text	文字	文字
camera_text_editor_border_width	Border width	粗幼度	粗细度
camera_text_editor_tab1	Colors	顏色	颜色
camera_text_editor_tab2	Fonts	字型	字型
camera_text_editor_tab3	Border	邊框	边框
camera_video	Video	拍攝	拍摄
can_not_rec_vcode	Can't recevied verification code	收不到驗證碼？	收不到验证码？
cancel_cute	cancel	忍痛拒絶	忍痛拒绝
cancel_like_fail	Cancel like post failed	取消點贊失敗	取消点赞失败
cancel_like_suc	Cancel like post success	取消點贊成功	取消点赞成功
cancel_verify	Cancel verify	取消審覈	取消审核
cannot_larger	Video cannot be larger than 100M	視頻大小不得超過100M	视频大小不得超过100M
certificate_of_consanguinity	Studbook	血緣證書	血缘证书
certificate_of_health	Health certificate	健康證書	健康证书
change_bio	Changed group bio	更換了群組公告	更换了群公告
change_locarion	Change location	切換位置	切换位置
chat_canceltop_item	Unpin	取消置頂	取消置顶
