,English,Chinese,SimplifiedChinese,Android 沒有用到的 (Y)
COMMON_BACK,Back,返回,返回,
COMMON_OK,OK,確定,确定,
COMMON_CANCEL,Cancel,取消,取消,
COMMON_SEARCH,Search,搜尋,搜索,
COMMON_ERROR,Error,錯誤,错误,
COMMON_ERROR_NETWORL,Error connecting to server. Please check your connection,無法連接伺服器，請檢查你的網絡連接,连接服务器异常，请检查你的网络连接,
COMMON_FINISH,Done,完成,完成,
COMMON_ERROR_UNKNOWN,Error occurred. Please try again,未能連接，請重試,连接异常，请重试,
COMMON_TODAY,Today,今日,今天,
COMMON_YESTERDAY,Yesterday,昨日,昨天,
COMMON_SUCCESS,Success,成功,成功,
COMMON_FAIL,Fail,失敗,失败,
COMMON_M,Male,男,男,
COMMON_F,Female,女,女,
COMMON_YEAR,Year,年,年,
COMMON_MONTH,Month,月,月,
COMMON_DAY,Day,日,日,
COMMON_SKIP,Skip,略過,略过,
COMMON_CAMERA_PERMISSION,Enable permissions in the application settings,到應用程式設定中開放權限,到系统设置界面中启用权限,
COMMON_SETTING,Settings,設定,设置,
COMMON_NO_DATA,Share your moment,立即分享生活點滴,分享一下生活点滴吧,
COMMON_LOG_OUT,Logout,登出,退出,
COMMON_LANGUAGE,Language,語言,语言,
COMMON_NEXT,Next,下一步,下一步,
COMMON_EDIT,Edit,編輯,修改,
COMMON_VERSION,Version,版本,版本,
COMMON_CREATE,Create,新增,新增,
COMMON_REFRESH,Refresh,重新整理,刷新,
COMMON_WEB_ERROR_MSG,Owoh! It looks like you are disconnected.,喔噢！你似乎已離線喔。,喔噢! 您好像已离线。,
COMMON_ADD,Create,新增,添加,
COMMON_OR,Or,或,或,
COMMON_RESEND,Resend,重新發送,重新发送,
COMMON_AREA,Area,地區︰,地区,
COMMON_DATE,Date,日期,日期,
COMMON_FEMALE,Female,大美女,大美女,
COMMON_MALE,Male,大帥哥,大帅哥,
COMMON_FEMALE_SMALL,Girl,小美女,小美女,
COMMON_MALE_SMALL,Boy,小帥哥,小帅哥,
COMMON_YES,Yes,是,是,
COMMON_NO,No,否,否,
LOGIN_INPUT_NAME,Username,用戶名稱,用户名称,Y
LOGIN_ACCT_PHONE,Phone,電話,电话,
LOGIN_ACCT,Email,電郵,邮箱,
LOGIN_INPUT_PW,Password,密碼,密码,
LOGIN_BUTTON,Login,登入,登录,
LOGIN_FACEBOOK_BUTTON,Facebook Login,Facebook 登入,Facebook 登录,Y
LOGIN_WECHAT_BUTTON,WeChat Login,WeChat 登入,微信登录,Y
LOGIN_REGISTER_1,No Owoh account yet?,未有 Owoh 帳戶？,未注册Owoh 帐号？,
LOGIN_REGISTER_2,Register now,立即註冊,马上注册,
LOGIN_FORGET_PW_1,Forgot password,忘記密碼,找回密码,
LOGIN_FORGET_PW_2,Click here,按此,点此,Y
LOGIN_ERROR_INVALID_INPUT,Please check your input,請輸入正確的登入資料,请输入正确的登录数据,Y
LOGIN_ERROR_INVALID_PW,Password must be at least 8 digits,密碼最少 8 個位,密码最少 8 位,
LOGIN_ERROR_INVALID_PW_NOT_MATCH,Passwords not identical,確認密碼不符,确认密码不符,Y
